Unnamed: 0,recipe_name,prep_time,cook_time,total_time,servings,yield,ingredients,directions,rating,url,cuisine_path,nutrition,timing,img_src
0,Apple-Cranberry Crostada,,,,8,6 a 8 - porciones,"3 cucharadas de mantequilla, 2 libras Granny Smith manzanas (o otras manzanas firmes, nítidas), peladas, acanaladas y cortadas 1/4 pulgadas de espesor, 1 libra manzanas Macintosh (o otras manzanas de color blando que se desprendan cuando estén cocidas), peladas, ancladas, cortadas y rebanadas 1/4 pulgada de grosor, 1⁄2 taza de azúcar picada","Caliente la mantequilla en una sartén grande a fuego medio-alto. Añadir manzanas, 1/2 taza de azúcar y arándanos; cubrir y cocinar hasta que las manzanas liberen su líquido, unos 5 minutos. Retire la tapa y siga cocinando, revolviendo con frecuencia, hasta que las manzanas suaves se desmoronen y los jugos se espeseen a una consistencia delgado-syrup, unos 5 minutos más. Vierta sobre una hoja de galletas o una sartén de jellyroll y fría a temperatura ambiente. (Se puede refrigerar en un recipiente hermético hasta 5 días.)
Ajuste el rack de horno a la posición baja y caliente el horno a 400 grados. Hoja de pasta abierta en una superficie de trabajo ligeramente harinada. Enrollar en un rectángulo, alrededor de 10 por 16 pulgadas. Traslado a una gran hoja de galletas. (Sugiero forrar la hoja con papel de pergamino; esto asegura que la crostada no se pega y permite una limpieza fácil.)
Esparce manzanas cocidas sobre la pasta, dejando una frontera de 2 pulgadas. Dobla las fronteras de pastelería sobre manzanas. Desarrollar esquinas y formar pliegues oxidados para evitar la superposición de masa. Cepillar la frontera con el huevo blanco y rociar con el resto de 1 Tb. azúcar. Hornea hasta que la pasta sea marrón dorado, de 25 a 30 minutos. Servir caliente o a temperatura ambiente con helado opcional o crema batida.",4.4,https://www.allrecipes.com/recipe/76931/apple-cranberry-crostada/,/Desserts/Fruit Desserts/Apple Dessert Recipes/,"Total Fat 18g 23%, Saturated Fat 7g 34%, Cholesterol 19mg 6%, Sodium 128mg 6%, Total Carbohydrate 60g 22%, Dietary Fiber 5g 16%, Total Sugars 40g, Protein 4g, Vitamin C 8mg 42%, Calcium 35mg 3%, Iron 1mg 6%, Potassium 245mg 5%","Serviciones: 8, Rendimiento: 6 a 8 - porciones",https://www.allrecipes.com/thmb/Tf1wH73bfH6OqlfQySSDtMaP-nw=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/517708-5f57072dedb04a389edab3e141517d4d.jpg
1,Apple Pie por Grandma Ople,30 minutos,1 hrs,1 hrs 30 mins,8,1 pastel de 9 pulgadas,"8 manzanas pequeñas Granny Smith, o según sea necesario, 1⁄2 taza de mantequilla sin sal, 3 cucharadas de harina de todo uso, 1⁄2 taza de azúcar blanco, 1⁄2 taza de azúcar marrón empaquetado, 1⁄4 taza de agua, 1 (9 pulgadas) pastel de doble corteza, descongelado","Pelar y manzanas centrales, luego rebanar finamente. A un lado.
Precaliente el horno a 425 grados F (220 grados C).
Derretir mantequilla en una cacerola a fuego medio. Añadir harina y revolver para formar una pasta; cocinar hasta fragante, alrededor de 1 a 2 minutos. Agregue azúcares y agua; cocine a fuego lento. Reduzca el calor a bajo y martillo durante 3 a 5 minutos. Retire del calor.
Presione una pasta en la parte inferior y en los lados de una bandeja de 9 pulgadas. Saca la pasta restante por lo que superará el pastel alrededor de 1/2 pulgada. Cortar la pasta en ocho tiras de 1 pulgada.
Colocar manzanas cortadas en la corteza inferior, formando un ligero montículo. Colocar cuatro tiras de pasta vertical e uniformemente espaciadas sobre manzanas, utilizando tiras más largas en el centro y tiras más cortas en los bordes.
Hacer una corteza de celo: Doblar las tiras primera y tercera todo el camino hacia atrás, por lo que casi están cayendo del pastel. Colocar una de las tiras sin usar perpendicularmente sobre las tiras segunda y cuarta, luego desplegar las tiras primera y tercera de nuevo en su posición original.
Dobla las tiras verticales segunda y cuarta. Colocar una de las tres tiras sin usar perpendicularmente sobre la parte superior. Devuelve las tiras segunda y cuarta a su posición original.
Repita los pasos 6 y 7 para tejer en las dos últimas tiras de la pastelería. Doble y recorta el exceso de masa en los bordes según sea necesario, y pinche para asegurar.
De forma lenta y suave vierte la mezcla de mantequilla de azúcar sobre la corteza de celo, asegurándose de que se vierte sobre manzanas cortadas. Pincel algunos en celo, pero asegúrate de que no salga de los lados.
Hornea en el horno precalentado durante 15 minutos. Reducir la temperatura a 350 grados F (175 grados C) y continuar horneando hasta que las manzanas sean suaves, de 35 a 45 minutos.











Natalie T",4.8,https://www.allrecipes.com/recipe/12682/apple-pie-by-grandma-ople/,/Desserts/Pies/Apple Pie Recipes/,"Total Fat 19g 24%, Saturated Fat 9g 46%, Cholesterol 31mg 10%, Sodium 124mg 5%, Total Carbohydrate 52g 19%, Dietary Fiber 3g 10%, Protein 2g, Vitamin C 5mg 27%, Calcium 23mg 2%, Iron 1mg 6%, Potassium 156mg 3%","Tiempo de preparación: 30 minutos, Tiempo de cocción: 1 hrs, Tiempo total: 1 hrs 30 mins, Servings: 8, Yield: 1 tarta de 9 pulgadas",https://www.allrecipes.com/thmb/1I95oiTGz6aEpuHd2DAr33w7Mgg=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/12682-apple-pie-by-grandma-ople-natasha-titanov-1x1-1-7f1cd9f631d24ff0b90cac0163247686.jpg
2,Applesauce casero de Sarah,10 minutos,15 minutos,25 minutos,4,,"4 manzanas - pelado, cortado y picado, 3⁄4 taza de agua, 1⁄4 taza de azúcar blanco, 1⁄2 cucharadita de canela","Combine manzanas, agua, azúcar y canela en una cacerola; cubra y cocine a fuego medio hasta que las manzanas estén suaves, unos 15 a 20 minutos.
Permite que la mezcla de manzana se enfríe, luego almohadilla con un tenedor o almohadilla de patata hasta que sea la consistencia que desee.











Foto cocinando mama.
Cookin mama",4.8,https://www.allrecipes.com/recipe/51301/sarahs-applesauce/,/Side Dish/Applesauce Recipes/,"Total Fat 0g 0%, Sodium 3mg 0%, Total Carbohydrate 32g 12%, Dietary Fiber 4g 13%, Total Sugars 27g, Protein 0g, Vitamin C 6mg 32%, Calcium 13mg 1%, Iron 0mg 1%, Potassium 150mg 3%","Tiempo de preparación: 10 minutos, Tiempo de cocción: 15 minutos, Tiempo total: 25 minutos, Serviciones: 4",https://www.allrecipes.com/thmb/VY5d0tZHB8xz6y-ef586jR050FE=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/25840-Sarahs-Applesauce-2000-56080bc8aac64df59aeec895f1875fc0.jpg
3,Apple Crisp,30 minutos,45 minutos,1 hrs 15 mins,12,1 sartén de 9x13 pulgadas,"10 tazas de manzanas de todo uso, peladas, cortadas y cortadas, 1 taza de azúcar blanco, 1 cucharada de harina de todo uso, 1 cucharadita de canela de tierra, 1⁄2 taza de agua, 1 taza de avena rápida de cocción, 1 taza de harina de todo uso, 1 taza de azúcar marrón empaquetado, 1⁄4 cucharadita de polvo de hornear, 1⁄4 cucharadita de bicarbono de mantequilla","Precaliente el horno a 350 grados F (175 grados C).
Colocar manzanas cortadas en un plato de horneado de 9x13 pulgadas. Mezclar el azúcar blanco, 1 cucharada de harina y canela juntos; rociar sobre las manzanas. Vierta agua uniformemente sobre manzanas.
Combina avena, 1 taza de harina, azúcar morena, polvo de horneado y soda de horneado en un tazón grande. Añadir mantequilla fundida y mezclar con un tenedor hasta crumbly; rociar uniformemente sobre la mezcla de manzana.
Hornea en el horno precalentado hasta que la parte superior sea marrón dorado y las manzanas estén colgando alrededor de los bordes, unos 45 minutos.











Dotdash Meredith Food Studios",4.7,https://www.allrecipes.com/recipe/12409/apple-crisp-ii/,/Desserts/Crisps and Crumbles Recipes/Apple Crisps and Crumbles Recipes/,"Total Fat 8g 11%, Saturated Fat 5g 25%, Cholesterol 20mg 7%, Sodium 98mg 4%, Total Carbohydrate 61g 22%, Dietary Fiber 3g 12%, Total Sugars 44g, Protein 2g, Vitamin C 4mg 21%, Calcium 36mg 3%, Iron 1mg 6%, Potassium 162mg 3%","Tiempo de preparación: 30 minutos, Tiempo de cocción: 45 minutos, Tiempo total: 1 hrs 15 minutos, Actuaciones: 12, Rendimiento: 1 9x13 pulgadas",https://www.allrecipes.com/thmb/uAzhPOh86PfR-NIT1_dQ5c9bhag=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/12409-apple-crisp-MFS-027-c2f142105db44206856af57c388db3ee.jpg
4,Apple Pie Filling,20 minutos,20 minutos,2 hrs 40 mins,40,5 pasteles de 9 pulgadas,"18 tazas de manzanas cortadas delgadamente, 3 cucharadas de jugo de limón, 10 tazas de agua, 4 1⁄2 tazas de azúcar blanca, 1 taza de almidón de maíz, 2 cucharaditas de canela de suelo, 1 cucharadita de sal, 1⁄4 cucharadita de nuez molida","Sacar manzanas con jugo de limón en un tazón grande y dejar a un lado.
Vierta agua en un horno holandés a fuego medio. Combine azúcar, almidón de maíz, canela, sal y nuez moscada en un tazón; agregue al agua, mueva bien y cocine a fuego lento. Boil durante 2 minutos, revolviendo constantemente.
Añade manzanas y vuelve a hervir. Reduzca el calor, la cubierta y el martillo hasta que las manzanas estén tiernas, de 6 a 8 minutos. Genial por 30 minutos.
Cubierta en 5 contenedores congeladores, dejando 1/2 pulgada de espacio. Fresco a temperatura ambiente no más de 1 1/2 horas.
Sellar y congelar. Se puede almacenar hasta 12 meses.











Dotdash Meredith Food Studios",4.7,https://www.allrecipes.com/recipe/12681/apple-pie-filling/,/Desserts/Pies/Apple Pie Recipes/,"Total Fat 0g 0%, Sodium 61mg 3%, Total Carbohydrate 33g 12%, Dietary Fiber 1g 5%, Total Sugars 28g, Protein 0g, Vitamin C 3mg 16%, Calcium 7mg 1%, Iron 0mg 1%, Potassium 63mg 1%","Tiempo de preparación: 20 minutos, Tiempo de cocción: 20 minutos, Tiempo adicional: 2 hrs, Tiempo total: 2 hrs 40 minutos, Servings: 40, Yield: 5 pasteles de 9 pulgadas",https://www.allrecipes.com/thmb/c0bbYaS1V_mTt_fb85yo0gPcYUM=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/12681-apple-pie-filling-beauty-1x1-BP-2876-ed43a184f9564f4a8dc893c4ae8d561f.jpg
5,Easy Apple Crisp con avena Topping,20 minutos,40 minutos,1 hrs,4,,"6 manzanas - pelado, cortado y rebanado, 2 cucharadas de azúcar blanco, 1 1⁄2 cucharaditas de canela de tierra, dividida, 1 taza de azúcar marrón, 3⁄4 taza de avena antigua, 3⁄4 taza de harina de todo uso, 1⁄2 taza de mantequilla fría","Precaliente el horno a 350 grados F (175 grados C).
Sacar manzanas con azúcar blanca y 1/2 cucharadita de canela en un tazón mediano para cubrir; verter en un plato de hornear cuadrado de 9 pulgadas.
Mezcla azúcar morena, avena, harina y 1 cucharadita de canela en un tazón separado. Cortar en mantequilla fría con 2 cuchillos o una batidora de pastelería hasta que la mezcla se asemeja a las migajas gruesas; extenderse sobre las manzanas y patear suavemente hasta incluso.
Hornea en el horno precalentado hasta que el marrón dorado y los lados estén burbujeando, unos 40 minutos.",4.7,https://www.allrecipes.com/recipe/229088/apple-crisp-with-oat-topping/,/Desserts/Crisps and Crumbles Recipes/Apple Crisps and Crumbles Recipes/,"Total Fat 25g 32%, Saturated Fat 15g 74%, Cholesterol 61mg 20%, Sodium 177mg 8%, Total Carbohydrate 99g 36%, Dietary Fiber 8g 27%, Total Sugars 63g, Protein 5g, Vitamin C 10mg 48%, Calcium 69mg 5%, Iron 2mg 13%, Potassium 360mg 8%","Tiempo de preparación: 20 minutos, Tiempo de cocción: 40 minutos, Tiempo total: 1 hrs, Servings: 4",https://www.allrecipes.com/thmb/1tKFVcDXwp8Y_zGAzOoowGVomOk=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/Apple-Crisp-with-Oat-Topping-70ef9793a177482285f8ed377e692062.jpg
6,Cidra de manzana fácil,10 minutos,1 hrs,1 hrs 10 min,8,,"1 (64 onza de líquido) sidra de manzana de botella, 3 palos de canela, 1 cucharadita de todo picante, 1 cucharadita de dientes enteros, 1⁄3 taza de azúcar marrón","Combine la sidra de manzana y los palos de canela en una cocina lenta.
Colocar allspice y coágulos en el centro de un pedazo de queso cuadrado de 8 pulgadas. Reúne los bordes del queso y atar para asegurar; coloque en la cocina lenta. Escalón en azúcar marrón. Cocinar en el Alto hasta que llegue a hervir. Reducir el calor a Baja y mantener el calor.",4.6,https://www.allrecipes.com/recipe/42022/easy-apple-cider/,/Bebidas Recetas / Recetas de la plancha /,"Total Fat 0g 0%, Sodium 31mg 1%, Total Carbohydrate 43g 16%, Dietary Fiber 1g 3%, Total Sugars 38g, Protein 0g, Vitamin C 0mg 1%, Calcium 23mg 2%, Iron 0mg 1%, Potassium 20mg 0%","Tiempo de preparación: 10 minutos, Tiempo de cocción: 1 hrs, Tiempo total: 1 hrs 10 mins, Servings: 8",https://www.allrecipes.com/thmb/fRJDPqthkB2mxnA5VOrG6szvS1Q=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/158643-2d01a5a0827c44598c89b3bd819d250e.jpg
7,Apple-Cranberry Crisp,25 minutos,40 minutos,1 hrs 5 mins,8,1 8 pulgadas crujiente,"2 libras Granny Smith manzanas - pelado, corcho y rebanado finamente, 3⁄4 taza de cangrejos, 1⁄4 taza de azúcar blanco, 1 cucharada de canela de tierra, 1 cucharadita de nuez moscada","Precaliente el horno a 375 grados F (190 grados C.) Butter un plato de horneado cuadrado de 8 pulgadas.
Mezcle manzanas, cangrejos, azúcar blanco, canela y nuez moscada en un tazón grande. Coloque en una capa uniforme en el plato de hornear preparado.
En el mismo tazón, combinar la avena, la harina y el azúcar moreno para la topping. Añadir piezas de mantequilla y mezclar con un tenedor hasta crumbly. Escalón en las pecanas. Espolvorear las manzanas en el plato de hornear.
Hornea en el horno precalentado hasta que las manzanas estén tiernas y la topa es marrón dorado, de 40 a 50 minutos.",4.6,https://www.allrecipes.com/recipe/41893/apple-cranberry-crisp/,/Desserts/Crisps and Crumbles Recipes/,"Total Fat 12g 15%, Saturated Fat 4g 22%, Cholesterol 15mg 5%, Sodium 47mg 2%, Total Carbohydrate 43g 16%, Dietary Fiber 4g 16%, Total Sugars 32g, Protein 2g, Vitamin C 7mg 36%, Calcium 37mg 3%, Iron 1mg 6%, Potassium 207mg 4%","Tiempo de preparación: 25 minutos, Tiempo de cocción: 40 minutos, Tiempo total: 1 hrs 5 minutos, Actuaciones: 8, Rendimiento: 1 8 pulgadas crujiente",https://www.allrecipes.com/thmb/MjDDFmBWiEx9f1kpSieyThF1KnM=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/525977-d5f45adf863d41fba1a1071febfc00ad.jpg
8,Manzanas viejas de facción,30 minutos,1 hrs,1 hrs 30 mins,6,,"1 receta pastel para pastel de doble corteza, 6 manzanas de Granny Smith grandes, pelado y cored, 1⁄2 taza de mantequilla, 3⁄4 taza de azúcar marrón, 1 cucharadita de canela, 1⁄2 cucharadita de nuez moscada, 3 tazas de agua, 2 tazas de azúcar blanco, 1 extracto de vainilla de cucharadita","Precaliente el horno a 400 grados F (200 grados C). Butter una sartén de 9x13 pulgadas.
Rollo de pasta en un rectángulo de 24x16 pulgadas sobre una superficie ligeramente harinada. Corte en seis cuadrados de 8 pulgadas. Coloca una manzana en cada cuadrado de pastelería con la abertura de cored hacia arriba. Cortar la mantequilla en 8 piezas; colocar 1 pieza en la abertura de cada manzana; reservar la mantequilla restante para la salsa.
Divide el azúcar moreno entre manzanas, echando un poco dentro de cada abertura del corcho y el resto alrededor de la base de cada manzana. Espolvorear canela y nuez moscada sobre manzanas.
Usando las puntas de los dedos ligeramente mojadas, trae una esquina de la plaza de la pasta hasta la parte superior de la manzana, luego trae la esquina opuesta a la parte superior y presione juntos. Trae las dos esquinas restantes, y sella. Pellizca ligeramente la masa a los lados para sellar completamente la manzana. Repita con las manzanas restantes y el lugar en el plato de horneado preparado.
Combine el agua, el azúcar blanco, el extracto de vainilla y la mantequilla reservada en una cacerola grande. Coloque a fuego medio y cocine a fuego lento. Reduzca el calor a bajo y martillo hasta que se disuelva el azúcar, unos 5 minutos. Verter cuidadosamente la salsa sobre los dumplings.
Hornear durante 50 a 60 minutos. Coloque cada puré de manzana en un tazón de postre, y cuchara algunas de la salsa sobre la parte superior.",4.7,https://www.allrecipes.com/recipe/46232/old-fashioned-apple-dumplings/,/Desserts/Fruit Desserts/Apple Dessert Recipes/,"Total Fat 35g 45%, Saturated Fat 15g 74%, Cholesterol 41mg 14%, Sodium 434mg 19%, Total Carbohydrate 148g 54%, Dietary Fiber 7g 23%, Total Sugars 115g, Protein 5g, Vitamin C 11mg 53%, Calcium 52mg 4%, Iron 2mg 13%, Potassium 319mg 7%","Tiempo de preparación: 30 minutos, Tiempo de cocción: 1 hrs, Tiempo total: 1 hrs 30 mins, Servings: 6",https://www.allrecipes.com/thmb/fBK5I_LpF7CXGzZUJfHTtRnhCac=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/9411399-215b5cd7d43e451baeadd6ce77e36c6e.jpg
9,Manzanas fritas del sur,10 minutos,10 minutos,20 minutos,4,,"1⁄2 taza de mantequilla, 1⁄2 taza de azúcar blanco, 2 cucharadas de canela de tierra, 4 manzanas de Granny Smith - pelado, cortado y cortado","Derretir la mantequilla en una sartén grande a fuego medio. Agregue azúcar y canela; mueva hasta que el azúcar se disuelva.
Agregue manzanas y cocine hasta suavizar, de 5 a 8 minutos.











Melissa Goff",4.6,https://www.allrecipes.com/recipe/230907/southern-fried-apples/,/Side Dish/,"Total Fat 23g 30%, Saturated Fat 15g 73%, Cholesterol 61mg 20%, Sodium 165mg 7%, Total Carbohydrate 45g 16%, Dietary Fiber 5g 16%, Total Sugars 39g, Protein 1g, Vitamin C 7mg 35%, Calcium 49mg 4%, Iron 1mg 3%, Potassium 174mg 4%","Tiempo de preparación: 10 minutos, Tiempo de cocción: 10 minutos, Tiempo total: 20 minutos, Servings: 4",https://www.allrecipes.com/thmb/j38-5Fxnr9NUifEj3gsaBBkd75k=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1049390-361cabad31114328ac20bcc3c35ffce4.jpg
